node,trace,policy,cache_pct,size_mb,hp,threads,rep,miss,tp,requests,footprint_mb,n_objects
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lru,10,2886,27,1,1,0.2140,0.39,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lru,10,2886,27,1,2,0.2140,0.39,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lru,10,2886,27,1,3,0.2140,0.40,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lruforgive,10,2886,27,1,1,0.2140,0.28,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lruforgive,10,2886,27,1,2,0.2140,0.28,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lruforgive,10,2886,27,1,3,0.2140,0.28,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifo,10,2886,27,1,1,0.2230,0.43,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifo,10,2886,27,1,2,0.2230,0.43,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifo,10,2886,27,1,3,0.2230,0.43,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifoforgive,10,2886,27,1,1,0.2229,0.30,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifoforgive,10,2886,27,1,2,0.2229,0.30,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifoforgive,10,2886,27,1,3,0.2229,0.30,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lru,0.1,29,21,1,1,0.5244,2.01,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lru,0.1,29,21,1,2,0.5244,2.11,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lru,0.1,29,21,1,3,0.5244,2.13,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lruforgive,0.1,29,21,1,1,0.5160,0.97,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lruforgive,0.1,29,21,1,2,0.5160,0.97,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,lruforgive,0.1,29,21,1,3,0.5160,0.94,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifo,0.1,29,21,1,1,0.5065,2.29,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifo,0.1,29,21,1,2,0.5065,2.30,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifo,0.1,29,21,1,3,0.5065,2.28,8660692,28859.4944,1000215
node1.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,tencentBlock_16868,s3fifoforgive,0.1,29,21,1,1,0.5059,1.15,8660692,28859.4944,1000215
